seed,scenario_id,scenario_name,method,success,terminal_error,min_dist,control_energy,arrival_time,steps,alpha_mean,alpha_std,alpha_response,regime_mean,residual_mean,accepted,rejected,protocol_version
501,1,FW1 dry grass,rls,1,0.37859031399040266,0.9079562563512428,9.46889938328236,7.9,79,,,,,,0,0,fw-protocol-v1
501,1,FW1 dry grass,sindy,1,0.22111517881749687,0.9079562563512428,9.46889938328236,7.9,79,0.031986906131617615,0.0190003929271575,-0.03552286008620422,1.600501018521201,0.005135449433196424,2,10,fw-protocol-v1
501,1,FW1 dry grass,standard,1,0.22111517881749687,0.9079562563512428,9.46889938328236,7.9,79,,,,,,0,0,fw-protocol-v1
501,2,FW2 wet grass,rls,1,0.3797421494499293,0.6892083153469095,10.382829481348404,8.700000000000001,87,,,,,,0,0,fw-protocol-v1
501,2,FW2 wet grass,sindy,1,0.22892657578462053,0.7194843873096426,10.421841306146218,8.700000000000001,87,0.050510761072396076,0.02243865861730731,-0.03752489853244488,1.1670377297025414,0.005144345714361861,2,12,fw-protocol-v1
501,2,FW2 wet grass,standard,1,0.20605231688487577,0.6803671935283125,10.394983045036458,8.8,88,,,,,,0,0,fw-protocol-v1
501,3,FW3 soft soil,rls,0,0.361811553066319,0.41084346471228733,11.256849861449735,,101,,,,,,0,0,fw-protocol-v1
501,3,FW3 soft soil,sindy,1,0.23046785351364454,0.4870933296533076,11.606506820996081,9.700000000000001,97,0.07470639310708892,0.027169022105971354,-0.051328832272290716,0.2966230792061148,0.010486679434078305,1,15,fw-protocol-v1
501,3,FW3 soft soil,standard,0,0.23551727388565538,0.38529166690682565,11.215658518769596,,101,,,,,,0,0,fw-protocol-v1
501,4,FW4 asymmetric mud,rls,1,0.3627098729540663,2.4361965612196754,13.635619123219612,10.700000000000001,107,,,,,,0,0,fw-protocol-v1
501,4,FW4 asymmetric mud,sindy,1,0.24696258939452534,2.4254471268861115,13.634409984027654,10.700000000000001,107,0.04507102733600423,0.011759701976468607,-0.02027928255790129,0.7175044067561072,0.005203263108716315,1,17,fw-protocol-v1
501,4,FW4 asymmetric mud,standard,1,0.24626884820203113,2.328334742232667,13.697190618846419,10.8,108,,,,,,0,0,fw-protocol-v1
501,5,FW5 terrain switch,rls,1,0.3698044449693732,0.7633358467891992,10.569012785597938,8.8,88,,,,,,0,0,fw-protocol-v1
501,5,FW5 terrain switch,sindy,1,0.21871547038483613,0.7633358467891992,10.569012785597938,8.8,88,0.10511559152808751,0.031657770124715524,-0.041842422715867564,0.3263078484768508,0.005036527134380545,2,12,fw-protocol-v1
501,5,FW5 terrain switch,standard,1,0.21871547038483613,0.7633358467891992,10.569012785597938,8.8,88,,,,,,0,0,fw-protocol-v1
502,1,FW1 dry grass,rls,1,0.37798200132707,0.9001096730532296,9.471387422419033,7.9,79,,,,,,0,0,fw-protocol-v1
502,1,FW1 dry grass,sindy,1,0.21840604948756928,0.9001096730532296,9.471387422419033,7.9,79,0.031017092035112423,0.01722612812884995,-0.02897246637220492,1.6588378441821028,0.0028874255918364105,2,10,fw-protocol-v1
502,1,FW1 dry grass,standard,1,0.21840604948756928,0.9001096730532296,9.471387422419033,7.9,79,,,,,,0,0,fw-protocol-v1
502,2,FW2 wet grass,rls,1,0.3794123965416063,0.6992690562039877,10.390493194411118,8.700000000000001,87,,,,,,0,0,fw-protocol-v1
502,2,FW2 wet grass,sindy,1,0.231220842937966,0.7418532674856372,10.430358756925527,8.700000000000001,87,0.14729693821464793,0.0415347760384171,-0.0371440470570972,0.14851926748651811,0.004552636790222077,4,10,fw-protocol-v1
502,2,FW2 wet grass,standard,1,0.20725948676293746,0.6783783549042877,10.39625824335124,8.8,88,,,,,,0,0,fw-protocol-v1
502,3,FW3 soft soil,rls,0,0.3674886609503737,0.39854841850484457,11.237700727704137,,101,,,,,,0,0,fw-protocol-v1
502,3,FW3 soft soil,sindy,1,0.23042456327794988,0.44988842706441823,11.44026092050405,9.9,99,0.03808923185092548,0.018043300705287514,-0.03396355952001163,1.031964178460223,0.00828977228938435,1,15,fw-protocol-v1
502,3,FW3 soft soil,standard,0,0.23984738555752508,0.3819372901659205,11.208115101834274,,101,,,,,,0,0,fw-protocol-v1
502,4,FW4 asymmetric mud,rls,1,0.3642796671139962,2.4428101865859753,13.653130470906195,10.700000000000001,107,,,,,,0,0,fw-protocol-v1
502,4,FW4 asymmetric mud,sindy,1,0.24564953152574423,2.4246863687923277,13.654255160520018,10.700000000000001,107,0.04428588983913167,0.012752891236411839,-0.023183428528458006,0.793509068525047,0.005070922420039174,1,17,fw-protocol-v1
502,4,FW4 asymmetric mud,standard,1,0.24810700284256165,2.330968456079317,13.691029325240558,10.8,108,,,,,,0,0,fw-protocol-v1
